director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes
Peter Segal,101,88,812,Bradley Whitford,957,Adventure|Comedy,Wilford Brimley,My Fellow Americans ,4629,Sela Ward,English,USA,PG-13,21500000,821
Juan José Campanella,106,195,0,Diego Ramos,20,Adventure|Animation|Family|Sport,Pablo Rago,Underdogs ,30,Gabriel Almirón,Spanish,Spain,PG,22000000,10
Trey Parker,81,406,406,Eric Idle,893,Animation|Comedy|Fantasy|Musical,Minnie Driver,South Park: Bigger Longer & Uncut ,3003,Trey Parker,English,USA,R,21000000,795
Stuart Gillard,96,8,199,John Aylward,533,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Paige Turco,Teenage Mutant Ninja Turtles III ,1254,Matt Hill,English,USA,PG,17000000,219
Katt Shea,104,52,484,Rachel Blanchard,711,Horror|Sci-Fi|Thriller,Jason London,The Rage: Carrie 2 ,3162,Eddie Kaye Thomas,English,USA,R,21000000,490
,60,,,,98,Game-Show|Reality-TV|Romance,Chris Harrison,The Bachelor             ,98,,English,USA,,3000000,
Sam Mendes,98,0,374,Jim Gaffigan,925,Comedy|Drama|Romance,Catherine O'Hara,Away We Go ,1997,Carmen Ejogo,English,USA,R,17000000,472
Joshua Michael Stern,120,0,886,Judge Reinhold,1000,Comedy|Drama,Madeline Carroll,Swing Vote ,6212,Nathan Lane,English,USA,PG-13,21000000,901
John Duigan,102,18,186,Jill Hennessy,670,Comedy|Drama|Romance,Elaine Hendrix,Molly ,1562,Sarah Wynter,English,USA,PG-13,21000000,419
Colin Higgins,114,19,842,Barry Corbin,1000,Comedy|Musical,Dolly Parton,The Best Little Whorehouse in Texas ,3688,Dom DeLuise,English,USA,R,35000000,883
David Cronenberg,115,0,716,Sarah Polley,1000,Horror|Sci-Fi|Thriller,Jennifer Jason Leigh,eXistenZ ,2990,Callum Rennie,English,Canada,R,31000000,900
Adam Shankman,105,163,338,Kimberly J. Brown,1000,Comedy,Angus T. Jones,Bringing Down the House ,2505,Steve Harris,English,USA,PG-13,33000000,409
Penelope Spheeris,94,122,617,Lara Flynn Boyle,1000,Comedy|Music,Tia Carrere,Wayne's World ,4263,Kurt Fuller,English,USA,PG-13,20000000,619
Jeff Tremaine,101,79,218,Steve-O,608,Action|Comedy|Documentary,Bam Margera,Jackass 3D ,1787,Chris Pontius,English,USA,R,20000000,362
Jeannot Szwarc,131,82,85,Murray Hamilton,813,Adventure|Horror|Thriller,Roy Scheider,Jaws 2 ,1520,Joseph Mascolo,English,USA,PG,20000000,366
Brian Levant,95,32,563,Tracy Morgan,826,Adventure|Comedy|Family|Romance,Nia Long,Are We There Yet? ,3558,Jay Mohr,English,USA,PG,32000000,642
Ben Falcone,100,265,265,Mark Duplass,989,Comedy,Gary Cole,Tammy ,2654,Ben Falcone,English,USA,R,20000000,830
D.J. Caruso,105,154,501,Aaron Yoo,884,Drama|Mystery|Thriller,Sarah Roemer,Disturbia ,2287,Jose Pablo Cantillo,English,USA,PG-13,20000000,617
Paul McGuigan,114,118,40,Christopher Cousins,489,Drama|Mystery|Romance|Thriller,Jessica Paré,Wicker Park ,679,Mark Camacho,English,USA,PG-13,30000000,93
Keenen Ivory Wayans,109,322,861,Jaime King,1000,Comedy|Crime,Busy Philipps,White Chicks ,6313,Brittany Daniel,English,USA,PG-13,37000000,960
Andrew Davis,117,99,165,Zane Holtz,596,Adventure|Comedy|Drama|Family|Mystery,Tim Blake Nelson,Holes ,1293,Ski Carr,English,USA,PG,20000000,265
Julie Anne Robinson,107,30,318,Bobby Coleman,742,Drama|Family|Music|Romance,Kelly Preston,The Last Song ,2341,Melissa Ordway,English,USA,PG,20000000,360
Charles Stone III,118,30,284,Nick Cannon,962,Comedy|Drama|Music|Romance,Leonard Roberts,Drumline ,2390,Jason Weaver,English,USA,PG-13,20000000,593
Tyler Perry,114,0,582,Tom Arnold,982,Comedy|Crime|Drama,John Amos,Madea's Witness Protection ,2753,Romeo Miller,English,USA,PG-13,20000000,618
Robin Budd,72,2,434,Rob Paulsen,1000,Adventure|Animation|Family|Fantasy,Roger Rees,Return to Never Land ,3402,Spencer Breslin,English,USA,G,20000000,677
Ava DuVernay,128,151,852,Tom Wilkinson,1000,Biography|Drama|History,David Oyelowo,Selma ,3869,Oprah Winfrey,English,UK,PG-13,20000000,1000
Stephen Kay,89,19,349,Skye McCole Bartusiak,526,Drama|Horror|Mystery|Thriller,Barry Watson,Boogeyman ,1383,Charles Mesure,English,USA,PG-13,20000000,392
Mennan Yapo,96,9,107,Amber Valletta,826,Drama|Mystery|Thriller,Nia Long,Premonition ,1825,Marc Macaulay,English,USA,PG-13,20000000,626
Jun Falkenstein,77,25,16,John Fiedler,304,Animation|Comedy|Drama|Family|Musical,Kath Soucie,The Tigger Movie ,575,Ken Sansom,English,USA,G,30000000,253
Boaz Yakin,111,132,455,Joseph Julian Soria,1000,Adventure|Family,Jay Hernandez,Max ,2851,Edgar Arreola,English,USA,PG,20000000,465
Jason Friedberg,93,82,729,Carmen Electra,926,Adventure|Comedy,David Carradine,Epic Movie ,4293,Fred Willard,English,USA,PG-13,20000000,869
John Milius,129,468,183,Mako,919,Adventure|Fantasy,William Smith,Conan the Barbarian ,2024,Sandahl Bergman,English,USA,R,20000000,691
Tom McCarthy,128,310,77,Jamey Sheridan,745,Biography|Crime|Drama|History,Billy Crudup,Spotlight ,1058,Brian d'Arcy James,English,USA,R,20000000,168
Neil LaBute,110,119,332,Justin Chambers,1000,Crime|Drama|Thriller,Jay Hernandez,Lakeview Terrace ,2382,Robert Pine,English,USA,PG-13,22000000,931
Kevin Rodney Sullivan,124,8,232,James Pickens Jr.,508,Comedy|Drama|Romance,Richard Lawson,How Stella Got Her Groove Back ,1660,Barry Shabaka Henley,English,USA,R,20000000,270
Gary Nelson,98,20,160,Maximilian Schell,889,Action|Sci-Fi,Robert Forster,The Black Hole ,2110,Yvette Mimieux,English,USA,PG,20000000,877
Anton Corbijn,105,210,101,Thekla Reuten,978,Crime|Drama|Thriller,Violante Placido,The American ,1454,Filippo Timi,English,USA,R,20000000,191
Gregory Nava,127,16,399,Constance Marie,565,Biography|Drama|Music,Jon Seda,Selena ,1735,Jacob Vargas,English,USA,PG,20000000,441
Jason Friedberg,82,82,354,Dave Foley,759,Comedy,Diedrich Bader,Vampires Suck ,2898,Anneliese van der Pol,English,USA,PG-13,20000000,401
Trey Parker,98,406,406,Maurice LaMarche,860,Action|Comedy,Jeremy Shada,Team America: World Police ,2609,Trey Parker,English,USA,R,30000000,523
John Luessenhop,92,34,322,Keram Malicki-Sánchez,383,Horror|Thriller,Gunnar Hansen,Texas Chainsaw 3D ,1945,Shaun Sipos,English,USA,R,11000000,333
Kevin Reynolds,107,58,47,Jan Cornet,141,Action|Adventure|Drama|Mystery,Peter Firth,Risen ,389,María Botto,English,USA,PG-13,20000000,76
Steve Beck,91,17,78,Ron Eldard,534,Horror,Isaiah Washington,Ghost Ship ,1083,Francesca Rettondini,English,USA,R,35000000,385
Todd Strauss-Schulson,90,12,587,Thomas Lennon,786,Adventure|Comedy,Patton Oswalt,A Very Harold & Kumar 3D Christmas ,2462,Paula Garcés,English,USA,R,19000000,651
John Madden,113,108,22,Jesper Christensen,1000,Drama|Thriller,Tom Wilkinson,The Debt ,1136,Romi Aboulafia,English,USA,R,20000000,100
Stephen Frears,113,350,619,Lili Taylor,1000,Comedy|Drama|Music|Romance,Drake Bell,High Fidelity ,3141,Lisa Bonet,English,UK,R,20000000,960
Eric Valette,87,2,270,Jason Beghe,741,Horror|Mystery,Johnny Lewis,One Missed Call ,1834,Margaret Cho,English,Japan,PG-13,27000000,297
John Schlesinger,101,154,497,Beverly D'Angelo,1000,Crime|Drama|Thriller,Joe Mantegna,Eye for an Eye ,3174,Philip Baker Hall,English,USA,R,20000000,816
Andrew Fleming,99,26,650,Laura Harring,720,Comedy|Crime|Family|Mystery|Romance|Thriller,Kay Panabaker,Nancy Drew ,3327,Tate Donovan,English,USA,PG,20000000,669
Michael Spierig,98,35,16,Damien Garvey,125,Action|Horror|Sci-Fi|Thriller,Jay Laga'aia,Daybreakers ,189,Tiffany Lamb,English,Australia,R,20000000,37
William Brent Bell,75,19,806,Frankie Muniz,1000,Horror|Thriller,Adam Goldberg,Stay Alive ,3590,Samaire Armstrong,English,USA,PG-13,9000000,934
Anthony Bell,90,0,518,Larry Miller,681,Adventure|Animation|Comedy|Family|Romance,Kevin Sussman,Alpha and Omega ,2486,Christine Lakin,English,USA,PG,20000000,611
Renny Harlin,97,212,637,Kyle Schmid,960,Action|Fantasy|Horror|Thriller,Laura Ramsey,The Covenant ,3261,Toby Hemingway,English,USA,PG-13,20000000,917
Henry Joost,96,24,374,Marc John Jefferies,646,Adventure|Crime|Mystery|Sci-Fi|Thriller,Samira Wiley,Nerve ,1780,Emily Meade,English,USA,PG-13,20000000,441
Howard Deutch,112,41,490,Taran Killam,1000,Comedy|Romance,Dane Cook,My Best Friend's Girl ,3301,Riki Lindhome,English,USA,R,40000000,500
Garry Marshall,113,0,949,Zachary Gordon,995,Comedy|Drama,Hector Elizondo,Georgia Rule ,4039,Jane Fonda,English,USA,R,20000000,975
Steve Rash,98,15,281,Adam Arkin,691,Comedy,Mako,Under the Rainbow ,1761,Billy Barty,English,USA,PG,20000000,374
Mark Steven Johnson,114,160,271,Jan Hooks,1000,Comedy|Drama|Family,Oliver Platt,Simon Birch ,1816,Dana Ivey,English,USA,PG,30000000,367
Todd Phillips,108,480,579,Sarah Silverman,970,Comedy,Jon Heder,School for Scoundrels ,4374,Jacinda Barrett,English,USA,PG-13,20000000,931
Michael J. Bassett,95,83,206,Deborah Kara Unger,991,Adventure|Drama|Horror|Mystery|Thriller,Radha Mitchell,Silent Hill: Revelation 3D ,2173,Martin Donovan,English,France,R,20000000,494
Frank Nissen,68,0,253,Brenda Blethyn,304,Animation|Family|Fantasy|Mystery,Kath Soucie,Pooh's Heffalump Movie ,861,John Fiedler,English,USA,G,20000000,286
Stephen Chow,99,0,59,Chi Ling Chiu,264,Action|Comedy|Crime|Fantasy,Shengyi Huang,Kung Fu Hustle ,537,Qiu Yuen,Cantonese,Hong Kong,R,20000000,62
Marc Forster,128,395,161,Shaun Toub,283,Drama,Mustafa Haidari,The Kite Runner ,904,Khalid Abdalla,Dari,USA,PG-13,20000000,206
Paul Abascal,84,2,472,Tom Hollander,787,Action|Crime|Drama|Thriller,Cole Hauser,Paparazzi ,2915,Kelly Carlson,English,USA,PG-13,20000000,555
Chris Koch,101,13,499,Lochlyn Munro,651,Comedy|Romance,Thomas Lennon,A Guy Thing ,2698,James Brolin,English,USA,PG-13,20000000,555
Amy Heckerling,98,143,153,Robert Miano,302,Comedy|Romance,Andy Dick,Loser ,1189,Zak Orth,English,USA,PG-13,20000000,216
Jason Friedberg,88,82,329,Tony Cox,869,Comedy,Carmen Electra,Disaster Movie ,2857,Ike Barinholtz,English,USA,PG-13,25000000,624
James Mather,95,4,80,Vincent Regan,788,Action|Adventure|Sci-Fi|Thriller,Joseph Gilgun,Lockout ,1414,Jacky Ido,English,France,PG-13,20000000,447
Barry Levinson,99,272,62,Ariel Gade,1000,Comedy,Amy Poehler,Envy ,1189,Sam Lerner,English,USA,PG-13,40000000,87
Michael O. Sajbel,123,6,85,Tiffany Dupont,541,Biography|Drama|History,James Callis,One Night with the King ,908,Nimrat Kaur,English,USA,PG,20000000,249
Walter Hill,94,394,565,Wes Studi,922,Action|Crime|Drama|Sport,Fisher Stevens,Undisputed ,2880,Jon Seda,English,USA,R,20000000,855
David Koepp,102,192,31,Dequina Moore,346,Comedy|Drama|Fantasy|Romance,Aasif Mandvi,Ghost Town ,500,Jordan Carlos,English,USA,PG-13,20000000,41
Renny Harlin,108,212,347,Ashley Scott,969,Action|Crime|Thriller,Taylor Cole,12 Rounds ,2799,Nick Gomez,English,USA,PG-13,22000000,794
Charles T. Kanganis,93,18,181,Dustin Nguyen,400,Action|Comedy|Family,Victor Wong,3 Ninjas Kick Back ,1151,Don Stark,English,USA,PG,20000000,220
James Wan,111,0,725,Kelly Preston,856,Action|Crime|Thriller,Aisha Tyler,Death Sentence ,3309,Edi Gathegi,English,USA,R,20000000,742
Bob Clark,88,84,177,Vanessa Angel,650,Comedy|Family|Sci-Fi,Scott Baio,Superbabies: Baby Geniuses 2 ,1343,Peter Wingfield,English,Germany,PG,20000000,384
Les Mayfield,83,10,69,Susie Essman,688,Action|Comedy|Crime,Miguel Ferrer,The Man ,1019,Gigi Rice,English,Germany,PG-13,33000000,99
Les Mayfield,91,10,436,Will Patton,716,Action|Comedy|Crime,Callum Rennie,Code Name: The Cleaner ,2700,Cedric the Entertainer,English,USA,PG-13,20000000,537
Michael Lembeck,108,54,463,Nia Vardalos,786,Comedy|Crime|Music,Debbie Reynolds,Connie and Carla ,2730,Dash Mihok,English,USA,PG-13,20000000,567
Bob Fosse,154,189,388,Ricardo Montalban,683,Comedy|Drama|Music|Musical|Romance,Sammy Davis Jr.,Sweet Charity ,2172,Ben Vereen,English,USA,G,20000000,641
Paul Thomas Anderson,148,0,175,Katherine Waterston,204,Comedy|Crime|Drama|Mystery|Romance,Martin Dew,Inherent Vice ,707,Serena Scott Thomas,English,USA,R,20000000,178
Dave Borthwick,77,3,593,Kylie Minogue,787,Adventure|Animation|Comedy|Family|Fantasy,Jimmy Fallon,Doogal ,2185,Jon Stewart,English,USA,G,20000000,690
Benson Lee,110,9,826,Caity Lotz,997,Drama|Music,Chris Brown,Battle of the Year ,3177,Laz Alonso,English,USA,PG-13,20000000,941
David Zucker,83,119,633,Geoffrey Arend,885,Comedy|Fantasy,Chriss Anglin,An American Carol ,2907,Gary Coleman,English,USA,PG-13,12000000,816
Glen Morgan,100,17,86,Ty Olsson,669,Drama|Horror|Sci-Fi|Thriller,Laura Harring,Willard ,1267,Jackie Burroughs,English,Canada,PG-13,22000000,429
Fred Wolf,87,29,522,Ashley Scott,1000,Adventure|Comedy,Kevin Alejandro,Strange Wilderness ,4218,Jeff Garlin,English,USA,R,20000000,794
Alejandro Monteverde,106,38,975,Cary-Hiroyuki Tagawa,1000,Drama|War,Tom Wilkinson,Little Boy ,5705,Michael Rapaport,English,Mexico,PG-13,20000000,1000
Jonathan Glazer,100,143,430,Anne Heche,829,Drama|Mystery|Romance|Thriller,Cameron Bright,Birth ,2295,Danny Huston,English,USA,R,20000000,681
J.C. Chandor,125,78,745,Ashley Williams,1000,Action|Crime|Drama|Thriller,David Oyelowo,A Most Violent Year ,3979,Albert Brooks,English,USA,R,20000000,969
Paul Gross,114,329,544,Michael Greyeyes,1000,Drama|History|Romance|War,Landon Liboiron,Passchendaele ,3493,Caroline Dhavernas,English,Canada,R,20000000,912
Marc Abraham,119,18,9,Bill Lake,20,Biography|Drama,Dylan Authors,Flash of Genius ,64,Victoria Learn,English,USA,PG-13,20000000,18
Rian Johnson,114,0,446,Maximilian Schell,975,Adventure|Comedy|Drama|Romance,Zachary Gordon,The Brothers Bloom ,3014,Nora Zehetner,English,USA,PG-13,20000000,877
Jean-Paul Rappeneau,114,22,413,Peter Coyote,572,Comedy|Drama|Mystery|Romance|Thriller|War,Isabelle Adjani,Bon voyage ,1776,Virginie Ledoyen,French,France,PG-13,20000000,548
Nancy Walker,124,42,161,Randy Jones,801,Biography|Comedy|Musical,Steve Guttenberg,Can't Stop the Music ,1462,Caitlyn Jenner,English,USA,PG,20000000,174
John Hillcoat,104,214,430,Noah Taylor,1000,Crime|Drama|Western,Ray Winstone,The Proposition ,2129,Danny Huston,English,Australia,R,2000000,509
Richard Benjamin,80,121,587,Jane Krakowski,836,Comedy|Music,Damon Wayans,Marci X ,2467,Paula Garcés,English,USA,R,20000000,624
Roger Spottiswoode,125,55,2,Guang Li,991,Drama|War,Radha Mitchell,The Children of Huang Shi ,1003,Matthew Walker,English,Australia,R,40000000,10
Matthew Diamond,88,12,231,Garrett Clayton,979,Adventure|Family|Fantasy|Musical,Chazz Palminteri,The Oogieloves in the Big Balloon Adventure ,1978,Toni Braxton,English,USA,G,20000000,532
Kevin Reynolds,107,58,324,Jason Scott Lee,699,Action|Adventure|Drama|History|Romance,Esai Morales,Rapa Nui ,1592,Sandrine Holt,English,USA,R,20000000,533
Kevin Munroe,107,14,311,Laura Spencer,403,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Marco St. John,Dylan Dog: Dead of Night ,1577,Anita Briem,English,USA,PG-13,20000000,368
Daniel Lee,102,10,60,Sammo Kam-Bo Hung,483,Action|Drama|History|War,Andy Lau,Three Kingdoms: Resurrection of the Dragon ,1113,Andy On,Mandarin,China,R,25000000,472
Tom Walsh,98,2,53,Maggie Wheeler,729,Animation,Joey D. Vieira,Dwegons and Leprechauns ,1092,Jacqueline Lovell,English,USA,PG,20000000,282
Mark Rosman,95,15,528,Lin Shaye,1000,Comedy|Family|Romance,Dan Byrd,A Cinderella Story ,3092,Julie Gonzalo,English,USA,PG,20000000,852
Wes Craven,103,0,157,W. Earl Brown,611,Horror|Mystery,David Arquette,Scream ,1212,Roger Jackson,English,USA,R,15000000,422
Steve Beck,91,17,670,Embeth Davidtz,1000,Horror,Shannon Elizabeth,Thir13en Ghosts ,3023,F. Murray Abraham,English,USA,R,20000000,795
Stanley Kubrick,146,0,413,Shelley Duvall,888,Drama|Horror,Scatman Crothers,The Shining ,2560,Joe Turkel,English,USA,R,19000000,629
Robert Zemeckis,116,0,459,Thomas F. Wilson,1000,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future ,3230,J.J. Cohen,English,USA,PG,19000000,690
William Malone,93,37,545,Peter Gallagher,885,Horror|Mystery|Thriller,Jeffrey Combs,House on Haunted Hill ,2872,Bridgette Wilson-Sampras,English,USA,R,19000000,828
Tyler Perry,113,0,256,Mary J. Blige,607,Comedy|Drama,Eric Mendenhall,I Can Do Bad All by Myself ,1465,Hope Olaide Wilson,English,USA,PG-13,13000000,269
Rob Hawk,90,97,319,Erin O'Brien,731,Action|Drama,Kari J. Kramer,Fight Valley ,2374,Cabrina Collesides,English,USA,,27000000,634
Josh Gordon,101,8,110,Scott Elrod,544,Comedy|Drama|Romance,Caroline Dhavernas,The Switch ,1292,Kelli Barrett,English,USA,PG-13,19000000,449
Shawn Levy,95,189,306,David Agranov,500,Comedy|Romance,Taran Killam,Just Married ,2020,David Moscow,English,USA,PG-13,18000000,308
Britt Allcroft,85,2,402,Colm Feore,1000,Adventure|Comedy|Drama|Family|Fantasy,Mara Wilson,Thomas and the Magic Railroad ,2429,Peter Fonda,English,UK,G,19000000,539
Breck Eisner,101,42,219,Glenn Morshower,991,Horror|Thriller,Radha Mitchell,The Crazies ,2609,John Aylward,English,USA,R,20000000,894
Brian Percival,131,33,326,Sophie Nélisse,876,Drama|War,Emily Watson,The Book Thief ,1985,Roger Allam,English,USA,PG-13,19000000,526
Sean Anders,129,51,630,Michael Cudlitz,948,Adventure|Comedy|Romance,Katrina Bowden,Sex Drive ,4324,Alice Greczyn,English,USA,R,19000000,822
Emile Ardolino,92,22,0,Kyra Nichols,2,Family|Fantasy|Music,Darci Kistler,The Nutcracker ,2,Margaret Tracey,English,USA,G,19000000,0
George A. Romero,97,0,233,Shawn Roberts,654,Horror,Tony Nappo,Land of the Dead ,1876,Pedro Miguel Arce,English,Canada,R,15000000,529
Nicholas Stoller,97,89,329,Carla Gallo,920,Comedy,Craig Roberts,Neighbors ,2771,Ike Barinholtz,English,USA,R,18000000,798
Chuck Russell,114,55,360,Amy Yasbeck,789,Action|Comedy|Crime|Fantasy,Peter Greene,The Mask ,2085,Reg E. Cathey,English,USA,PG-13,18000000,424
Larry Charles,82,119,6,Ken Davitian,332,Comedy,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,505,Chester,English,USA,R,18000000,165
Scott Derrickson,122,301,457,Colm Feore,1000,Drama|Horror|Thriller,Tom Wilkinson,The Exorcism of Emily Rose ,2759,JR Bourne,English,USA,PG-13,20000000,539
Mike Mitchell,88,31,489,Eddie Griffin,1000,Comedy|Romance,Amy Poehler,Deuce Bigalow: Male Gigolo ,2604,Bree Turner,English,USA,R,17000000,489
Thomas Bezucha,103,15,172,Paul Schneider,723,Comedy|Drama|Romance,Craig T. Nelson,The Family Stone ,1615,Tyrone Giordano,English,USA,PG-13,17000000,552
Kevin Rodney Sullivan,106,8,521,Sean Patrick Thomas,748,Comedy|Drama,Harry Lennix,Barbershop 2: Back in Business ,3956,Kenan Thompson,English,USA,PG-13,18000000,656
Terry Zwigoff,98,72,566,Tony Cox,1000,Comedy|Crime|Drama,Bernie Mac,Bad Santa ,3151,Alex Borstein,English,USA,R,18000000,624
Kirk Jones,94,52,261,Louis Mandylor,567,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding 2 ,2259,Joey Fatone,English,USA,PG-13,18000000,312
David Bowers,99,42,557,Rachael Harris,975,Comedy|Family,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules ,3567,Fran Kranz,English,USA,PG,21000000,569
John McTiernan,107,323,794,Bill Duke,1000,Action|Horror|Sci-Fi,Shane Black,Predator ,4223,Carl Weathers,English,USA,R,15000000,1000
Audrey Wells,113,22,148,Lindsay Duncan,727,Comedy|Drama|Romance,Raoul Bova,Under the Tuscan Sun ,1310,Mario Monicelli,English,USA,PG-13,18000000,171
Rick Friedberg,81,8,341,Barry Bostwick,844,Action|Comedy,Hulk Hogan,Spy Hard ,2653,Nicollette Sheridan,English,USA,PG-13,18000000,456
Mike Nichols,122,0,191,Bob Balaban,643,Comedy|Drama|War,Bob Newhart,Catch-22 ,2032,Martin Balsam,English,USA,R,18000000,559
Jody Hill,86,62,59,Celia Weston,390,Comedy|Crime|Drama,Collette Wolfe,Observe and Report ,727,Dan Bakkedahl,English,USA,R,18000000,258
Richard Fleischer,103,130,406,Olivia d'Abo,691,Action|Adventure|Fantasy,Mako,Conan the Destroyer ,2481,Grace Jones,English,USA,PG,18000000,476
Barry Levinson,109,272,124,Roger Ashton-Griffiths,155,Adventure|Fantasy|Mystery|Thriller,Nicholas Rowe,Young Sherlock Holmes ,605,Freddie Jones,English,USA,PG-13,18000000,144
Kevin Tancharoen,123,64,637,Kay Panabaker,808,Comedy|Drama|Musical|Romance,Kelsey Grammer,Fame ,5734,Megan Mullally,English,USA,PG,18000000,720
Nicholas Hytner,115,13,111,Susan May Pratt,757,Drama|Music|Romance,Amanda Schull,Center Stage ,1201,Ethan Stiefel,English,USA,PG-13,18000000,220
Chris Columbus,102,0,529,Marie Avgeropoulos,946,Comedy|Romance,Alan Ruck,"I Love You, Beth Cooper ",4072,Shawn Roberts,English,Canada,PG-13,18000000,800
William A. Fraker,98,28,102,Richard Farnsworth,372,Action|Adventure|Western,Jason Robards,The Legend of the Lone Ranger ,927,Michael Horse,English,USA,PG,18000000,262
Brian De Palma,107,0,101,Dennis Franz,517,Mystery|Thriller,Nancy Allen,Blow Out ,1067,John McMartin,English,USA,R,18000000,376
Courtney Solomon,90,31,179,Paul Freeman,210,Action|Crime|Thriller,Rebecca Budig,Getaway ,676,Bruce Payne,English,USA,PG-13,18000000,193
Ang Lee,112,0,177,Kate Burton,805,Drama,Joan Allen,The Ice Storm ,1466,Henry Czerny,English,USA,R,18000000,223
Rob Reiner,94,0,197,Annie Parisse,712,Comedy|Drama|Romance,Yaya DaCosta,And So It Goes ,1673,Frankie Valli,English,USA,PG-13,18000000,341
Jeff Kanew,105,6,371,Shelley Long,723,Adventure|Comedy,Craig T. Nelson,Troop Beverly Hills ,2368,Kellie Martin,English,USA,PG,18000000,422
István Szabó,104,109,202,Shaun Evans,405,Comedy|Drama|Romance,Miriam Margolyes,Being Julia ,847,Juliet Stevenson,English,Canada,R,18000000,204
Adrian Lyne,112,213,45,Karen Young,567,Drama|Romance,David Margulies,9½ Weeks ,711,Kim Chan,English,USA,R,17000000,67
Matthew Robbins,108,25,94,Ralph Richardson,1000,Action|Adventure|Fantasy,Ian McDiarmid,Dragonslayer ,1263,Albert Salmi,English,USA,PG,18000000,115
Michael Hoffman,112,97,231,Kerry Condon,577,Biography|Drama|Romance,David Masterson,The Last Station ,1341,Anne-Marie Duff,English,Germany,R,13000000,416
Sergey Bodrov,126,44,9,Khulan Chuluun,627,Adventure|Biography|Drama|History|War,Tadanobu Asano,Mongol: The Rise of Genghis Khan ,653,Honglei Sun,Mongolian,Russia,R,20000000,12
Hal Needham,99,379,251,Michael Beck,456,Action|Sci-Fi,Barry Bostwick,Megaforce ,1356,Henry Silva,English,USA,PG,20000000,278
Kenneth Branagh,150,0,401,Brian Blessed,597,Drama,Julie Christie,Hamlet ,1645,Richard Briers,English,UK,PG-13,18000000,591
Michael Haneke,144,0,16,Burghart Klaußner,63,Drama|Mystery,Ulrich Tukur,The White Ribbon ,167,Leonie Benesch,German,Germany,R,12000000,43
Mike Marvin,93,28,415,Randy Quaid,1000,Action|Horror|Romance|Sci-Fi|Thriller,Clint Howard,The Wraith ,2319,Nick Cassavetes,English,USA,R,2700000,695
D.J. Caruso,103,154,576,Meat Loaf,1000,Crime|Drama|Mystery|Thriller,Adam Goldberg,The Salton Sea ,4094,Anthony LaPaglia,English,USA,R,18000000,783
Gregor Jordan,98,34,394,Brad Renfro,663,Crime|Drama|Thriller,Austin Nichols,The Informers ,2215,Lou Taylor Pucci,English,Germany,R,18000000,551
Tran Anh Hung,114,157,32,Simón Andreu,84,Thriller,Takuya Kimura,I Come with the Rain ,198,Shawn Yue,English,France,Not Rated,18000000,35
Lance Hool,121,0,353,Joaquim de Almeida,854,Action|Drama|History|Romance|War|Western,Tom Berenger,One Man's Hero ,2705,Mark Moses,English,Spain,R,11350000,578
George A. Romero,87,0,83,John Amplas,1000,Horror,Greg Nicotero,Day of the Dead ,1592,Joseph Pilato,English,USA,Unrated,3500000,177
Chuck Russell,92,55,757,Rebecca De Mornay,1000,Action|Crime|Drama|Thriller,Sam Trammell,I Am Wrath ,3212,Amanda Schull,English,USA,R,18000000,872
Christian Volckman,105,2,69,Catherine McCormack,805,Action|Animation|Sci-Fi|Thriller,Romola Garai,Renaissance ,1185,Kevork Malikyan,English,France,R,14000000,306
Richard Fleischer,89,130,183,Brigitte Nielsen,444,Action|Adventure|Fantasy,Ernie Reyes Jr.,Red Sonja ,1243,Sandahl Bergman,English,Netherlands,PG-13,17900000,312
Jon M. Chu,98,209,129,Mari Koda,158,Drama|Music|Musical|Romance,Cassie Ventura,Step Up 2: The Streets ,816,Luis Rosado,English,USA,PG-13,23000000,152
Xavier Gens,94,87,280,Dougray Scott,866,Action|Crime|Drama|Thriller,Henry Ian Cusick,Hitman ,2124,Ulrich Thomsen,English,France,R,24000000,794
Kasi Lemmons,93,148,170,Mary J. Blige,549,Drama|Family|Music|Musical,Jennifer Hudson,Black Nativity ,1373,Vondie Curtis-Hall,English,USA,PG,17500000,269
Matt Dillon,116,0,50,Shawn Andrews,109,Crime|Drama|Thriller,Kirk Fox,City of Ghosts ,245,Rob Campbell,English,USA,R,17500000,67
Alejandro Amenábar,101,448,83,Elaine Cassidy,482,Fantasy|Horror|Thriller,Fionnula Flanagan,The Others ,956,Eric Sykes,English,USA,PG-13,17000000,203
Luke Greenfield,104,42,613,Damon Wayans Jr.,839,Comedy,Rob Riggle,Let's Be Cops ,3627,James D'Arcy,English,USA,R,17000000,756
John Hoffman,87,9,503,Molly Shannon,818,Comedy|Drama|Family|Fantasy|Sci-Fi,Liam Aiken,Good Boy! ,2164,Kevin Nealon,English,USA,PG,17000000,636
